  0.009  0.128  -7.28 -11.13 -14.31 -17.05 -19.56 -21.99 -24.50 -27.20 -30.14 -33.33 -36.73 -40.27 -43.87 -47.47 -51.03 -54.51 -58.03 -61.50 -64.85 -68.03 -70.96 -73.71 -76.13 -77.92 -78.97 -79.50 -79.75 -79.86 -79.95 -79.95 -79.95 -79.95 -79.95 -79.95 -79.95 -79.95 -79.95 -79.95 -79.95 -79.95
  0.018  0.255  -7.08 -11.00 -14.22 -16.98 -19.51 -21.95 -24.47 -27.17 -30.11 -33.30 -36.70 -40.23 -43.83 -47.42 -50.97 -54.44 -57.94 -61.38 -64.70 -67.84 -70.74 -73.46 -75.88 -77.71 -78.83 -79.41 -79.70 -79.83 -79.94 -79.94 -79.94 -79.94 -79.95 -79.95 -79.95 -79.95 -79.95 -79.95 -79.95 -79.95
  0.027  0.383  -6.75 -10.77 -14.06 -16.87 -19.42 -21.88 -24.41 -27.11 -30.06 -33.25 -36.65 -40.18 -43.76 -47.34 -50.87 -54.31 -57.78 -61.19 -64.45 -67.54 -70.38 -73.05 -75.48 -77.37 -78.57 -79.25 -79.59 -79.77 -79.93 -79.94 -79.94 -79.94 -79.94 -79.94 -79.94 -79.95 -79.95 -79.95 -79.95 -79.95
  0.036  0.510  -6.29 -10.46 -13.84 -16.71 -19.29 -21.78 -24.32 -27.04 -29.99 -33.18 -36.58 -40.09 -43.67 -47.23 -50.73 -54.14 -57.56 -60.92 -64.12 -67.13 -69.89 -72.50 -74.92 -76.88 -78.20 -78.99 -79.43 -79.66 -79.91 -79.92 -79.93 -79.93 -79.94 -79.94 -79.94 -79.94 -79.94 -79.94 -79.95 -79.95
  0.045  0.637  -5.69 -10.05 -13.55 -16.50 -19.13 -21.65 -24.22 -26.94 -29.90 -33.09 -36.48 -39.99 -43.55 -47.09 -50.56 -53.93 -57.29 -60.58 -63.70 -66.63 -69.30 -71.84 -74.23 -76.24 -77.69 -78.62 -79.17 -79.50 -79.85 -79.88 -79.90 -79.92 -79.92 -79.93 -79.94 -79.94 -79.94 -79.94 -79.94 -79.94
  0.054  0.765  -4.97  -9.53 -13.20 -16.24 -18.94 -21.49 -24.08 -26.83 -29.79 -32.98 -36.37 -39.86 -43.40 -46.91 -50.35 -53.67 -56.97 -60.19 -63.22 -66.05 -68.62 -71.07 -73.43 -75.49 -77.05 -78.12 -78.81 -79.25 -79.76 -79.82 -79.86 -79.88 -79.90 -79.92 -79.92 -79.93 -79.94 -79.94 -79.94 -79.94
  0.063  0.892  -4.12  -8.92 -12.77 -15.93 -18.70 -21.31 -23.92 -26.69 -29.66 -32.85 -36.23 -39.71 -43.23 -46.71 -50.10 -53.37 -56.61 -59.74 -62.68 -65.40 -67.87 -70.23 -72.54 -74.63 -76.28 -77.50 -78.34 -78.91 -79.60 -79.71 -79.78 -79.83 -79.87 -79.89 -79.91 -79.92 -79.93 -79.94 -79.94 -79.94
  0.072  1.020  -3.19  -8.19 -12.26 -15.57 -18.42 -21.08 -23.74 -26.52 -29.51 -32.70 -36.07 -39.54 -43.03 -46.48 -49.83 -53.03 -56.20 -59.25 -62.09 -64.71 -67.07 -69.34 -71.60 -73.69 -75.42 -76.76 -77.75 -78.46 -79.37 -79.55 -79.67 -79.75 -79.81 -79.85 -79.88 -79.91 -79.92 -79.93 -79.93 -79.94
  0.081  1.147  -2.23  -7.34 -11.67 -15.14 -18.10 -20.83 -23.53 -26.34 -29.33 -32.53 -35.89 -39.35 -42.81 -46.22 -49.52 -52.66 -55.76 -58.72 -61.47 -63.98 -66.24 -68.42 -70.61 -72.70 -74.48 -75.92 -77.05 -77.91 -79.06 -79.33 -79.51 -79.64 -79.73 -79.79 -79.84 -79.89 -79.91 -79.92 -79.93 -79.93
  0.090  1.275  -1.34  -6.37 -10.99 -14.66 -17.74 -20.54 -23.29 -26.13 -29.14 -32.34 -35.70 -39.13 -42.57 -45.94 -49.18 -52.27 -55.28 -58.16 -60.81 -63.23 -65.39 -67.48 -69.62 -71.68 -73.50 -75.02 -76.26 -77.26 -78.65 -79.03 -79.30 -79.48 -79.62 -79.71 -79.78 -79.86 -79.88 -79.90 -79.92 -79.93
